"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6805567","R-HSA-6805567","Keratinization","59/1707","71/7589",1.87336746650252e-27,1.40689896734339e-24,1.26107209981933e-24,"CAPN1/CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/EVPL/IVL/JUP/KLK12/KLK13/KLK14/KLK5/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT77/KRT78/KRT8/KRT80/KRT81/KRT86/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",59
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","59/1707","71/7589",1.87336746650252e-27,1.40689896734339e-24,1.26107209981933e-24,"CAPN1/CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/EVPL/IVL/JUP/KLK12/KLK13/KLK14/KLK5/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT77/KRT78/KRT8/KRT80/KRT81/KRT86/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",59
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","185/1707","433/7589",3.0375460624574e-22,1.52079806193701e-19,1.36316540838001e-19,"ANAPC11/AURKA/AURKB/BANF1/BIRC5/BUB1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCND1/CCNE1/CCNE2/CDC20/CDC23/CDC25A/CDC25C/CDC45/CDC6/CDCA5/CDCA8/CDK1/CDK2/CDK4/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP250/CEP72/CEP76/CKAP5/CKS1B/CSNK2A1/DBF4/DHFR/DSN1/DYRK1A/E2F1/E2F2/E2F5/ERCC6L/ESCO2/ESPL1/FBXL18/FBXO5/FEN1/FKBPL/FOXM1/FZR1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS7/HAUS8/HDAC1/HIST1H3H/HIST1H4I/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/LIN37/LIN9/LMNB1/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/MYC/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEDD1/NEK2/NUF2/NUP155/NUP210/NUP35/NUP37/NUP62/NUP93/PCNA/PKMYT1/PLK1/PLK4/POLD2/POLE2/POLE3/PPP1CB/PPP1R12B/PPP2R5D/PRIM1/PRIM2/PSMA1/PSMA2/PSMA6/PSMB3/PSMB4/PSMB5/PSMC4/PSMD10/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD9/PTK6/PTTG1/RAB1A/RAB8A/RAE1/RANGAP1/RBBP4/RBL1/RBX1/RCC2/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3/RPS27/RRM2/SKA1/SKA2/SKP1/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TFDP2/TK2/TMPO/TOP2A/TP53/TPX2/TUBA1C/TUBA4A/TUBB/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/VRK2/WEE1/YWHAG/ZWILCH/ZWINT",185
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","69/1707","134/7589",1.35585100133884e-13,5.09122051002733e-11,4.56350902819045e-11,"CCNA1/CCNA2/CCNB1/CCND1/CCNE1/CCNE2/CDC25A/CDC45/CDC6/CDK1/CDK2/CDK4/CDKN2A/CDT1/CKS1B/DBF4/DHFR/DYRK1A/E2F1/E2F2/E2F5/FBXO5/HDAC1/LIN37/LIN9/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/MYC/PCNA/POLE2/POLE3/PRIM1/PRIM2/PSMA1/PSMA2/PSMA6/PSMB3/PSMB4/PSMB5/PSMC4/PSMD10/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD9/PTK6/RBBP4/RBL1/RPA1/RPA3/RRM2/SKP1/SKP2/TFDP1/TFDP2/TK2/TOP2A/TYMS/WEE1",69
"R-HSA-69206","R-HSA-69206","G1/S Transition","58/1707","110/7589",3.40145313697209e-12,1.02179652234642e-09,9.15886013092064e-10,"CCNA1/CCNA2/CCNB1/CCND1/CCNE1/CCNE2/CDC25A/CDC45/CDC6/CDK1/CDK2/CDK4/CDT1/CKS1B/DBF4/DHFR/E2F1/FBXO5/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYC/PCNA/POLE2/POLE3/PRIM1/PRIM2/PSMA1/PSMA2/PSMA6/PSMB3/PSMB4/PSMB5/PSMC4/PSMD10/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD9/PTK6/RPA1/RPA3/RRM2/SKP1/SKP2/TFDP1/TFDP2/TK2/TYMS/WEE1",58
"R-HSA-69242","R-HSA-69242","S Phase","59/1707","118/7589",3.96365670868346e-11,9.92235396073761e-09,8.89388935158974e-09,"CCNA1/CCNA2/CCND1/CCNE1/CCNE2/CDC25A/CDC45/CDC6/CDCA5/CDK2/CDK4/CDT1/CKS1B/ESCO2/FEN1/FZR1/GINS1/GINS2/GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYC/PCNA/POLD2/POLE2/POLE3/PRIM1/PRIM2/PSMA1/PSMA2/PSMA6/PSMB3/PSMB4/PSMB5/PSMC4/PSMD10/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD9/PTK6/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3/SKP1/SKP2/WEE1",59
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","21/1707","25/7589",1.09264362582529e-10,2.34450103712797e-08,2.10149052245194e-08,"CCNA1/CCNA2/CCNE1/CCNE2/CDC25A/CDC6/CDK1/CDK2/DYRK1A/E2F1/E2F5/HDAC1/LIN37/LIN9/MYBL2/PCNA/RBBP4/RBL1/TFDP1/TFDP2/TOP2A",21
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","54/1707","107/7589",1.70855467774264e-10,3.20781140746181e-08,2.87531767478005e-08,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP37/PLK1/PPP2R5D/RANGAP1/RCC2/RPS27/SKA1/SKA2/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBA4A/TUBB2B/TUBB3/ZWILCH/ZWINT",54
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","71/1707","158/7589",2.27465017655735e-10,3.79613840576571e-08,3.40266383136474e-08,"ANAPC11/BLM/BRCA1/BRCC3/BRIP1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC23/CDC25A/CDC25C/CDC45/CDC6/CDK1/CDK2/CHEK1/CHEK2/CLSPN/DBF4/EXO1/GTSE1/H2AFX/HIST1H4I/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MDM2/PKMYT1/PSMA1/PSMA2/PSMA6/PSMB3/PSMB4/PSMB5/PSMC4/PSMD10/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD9/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RPA1/RPA3/SFN/TOPBP1/TP53/UBE2C/UBE2V2/WEE1/YWHAG/YWHAZ/ZNF385A",71
"R-HSA-176187","R-HSA-176187","Activation of ATR in response to replication stress","23/1707","30/7589",4.23895764466459e-10,6.36691438228622e-08,5.70697560792212e-08,"CDC25A/CDC25C/CDC45/CDC6/CDK2/CHEK1/CLSPN/DBF4/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/RAD9A/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3",23
