"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-388396","R-HSA-388396","GPCR downstream signaling","126/1304","322/7442",4.93102841944954e-21,5.8827169044033e-18,5.14903178115152e-18,"ADCY4/ADCY6/ADCY7/ADCY8/ADCY9/ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRB1/ADRB2/AGTR1/AGTR2/AKAP13/APLN/APLNR/ARHGEF10/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF3/ARHGEF38/ARHGEF6/ARRB1/ARRB2/C3/C3AR1/C5/C5AR1/CALCRL/CCL21/CCL23/CCR1/CCR2/CCR4/CNR1/CSF2RA/CSF2RB/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CYSLTR1/DGKD/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FGD2/FGD3/FGD4/FPR1/FPR2/FPR3/GAB2/GIPR/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GPR17/GPR4/GPR65/GRK5/IL2RG/IL3RA/ITPR1/JAK2/MGLL/NMUR1/P2RY13/P2RY14/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE7B/PDE8B/PIK3CG/PIK3R5/PLCB2/PPBP/PREX1/PRKCB/PRKCE/PRKCQ/PROK2/PTAFR/PTGER2/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RASGRP2/REEP1/RGS11/RGS16/RGS18/RGS2/RGS3/RGS5/RGS9/RHOB/RXFP1/S1PR1/S1PR4/SCTR/SSTR1/TACR1/TBXA2R/TRPC6/VIPR1",126
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","52/1304","86/7442",4.14107648895545e-19,2.47015212566192e-16,2.16207783002306e-16,"C3/CD1D/CD22/CD247/CD300C/CD300E/CD300LF/CD300LG/CD33/CD34/CD81/FCGR1A/FCGR3A/HCST/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/ICAM1/ICAM2/ICAM4/ICAM5/ITGAL/ITGB2/KLRB1/KLRD1/KLRK1/KLRC4-KLRK1/LAIR1/LILRA1/LILRA2/LILRA3/LILRA5/LILRA6/LILRB1/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRB5/OSCAR/SELL/SFTPD/SIGLEC1/SIGLEC5/SIGLEC7/SIGLEC9/TREM1/TREM2/TYROBP",52
"R-HSA-109582","R-HSA-109582","Hemostasis","158/1304","493/7442",2.95724353866147e-16,1.17599718054105e-13,1.02932827731656e-13,"A2M/ACTN2/ANGPT1/APBB1IP/APLP2/ARRB1/ARRB2/ATP1B2/ATP2A3/CABLES1/CAV1/CD244/CD36/CD47/CD48/CD74/CD84/CEACAM6/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/DGKD/DOCK10/DOCK11/DOCK2/DOCK4/DOCK8/DOCK9/DOK2/EHD1/EHD2/ESAM/F10/F13A1/F2RL3/F8/FCER1G/FERMT3/FGA/FGG/FGR/FYN/GAB2/GAS6/GATA2/GATA6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GUCY1A2/GYPC/HBB/HGF/IL2RG/IL3RA/INPP5D/IRF1/ITGA1/ITGA10/ITGA2B/ITGAL/ITGAM/ITGAX/ITGB2/ITIH3/ITIH4/ITPR1/JAK2/JAM2/JAM3/KCNMB1/KIF13B/KIF19/KIF1C/KIF21B/KIF26A/LCP2/MAFF/MGLL/MMRN1/MRVI1/NFE2/NOS1/NOS3/OLR1/ORM1/P2RX1/P2RX7/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE5A/PDGFB/PHACTR2/PIK3CG/PIK3R5/PLEK/PPBP/PRKAR2B/PRKCB/PRKCE/PRKCQ/PRKCZ/PRKG1/PRKG2/PROS1/PRTN3/PTGIR/LOC105369247/QSOX1/RAP1A/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOB/SDC2/SDC4/SELE/SELL/SELP/SELPLG/SERPINA1/SERPINB6/SERPIND1/SERPINF2/SERPING1/SH2B3/SIRPA/SLC7A7/SLC8A1/SPN/SRGN/TBXA2R/TEK/TFPI/TGFB2/THBD/THBS1/TIMP3/TLN1/TNFRSF10D/TREM1/TRPC6/TSPAN7/TTN/TUBA1A/TUBB1/VWF/ZFPM2",158
"R-HSA-166658","R-HSA-166658","Complement cascade","26/1304","32/7442",5.34434999670168e-15,1.47203991610434e-12,1.28844893172939e-12,"C1QA/C1QB/C1QC/C2/C3/C3AR1/C4A/C4BPA/C4BPB/C5/C5AR1/C6/C7/CD55/CFD/CFH/CFI/CFP/CLU/CR1/FCN1/FCN3/GZMM/MASP1/PROS1/VTN",26
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","77/1304","185/7442",6.16948833237358e-15,1.47203991610434e-12,1.28844893172939e-12,"ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRB1/ADRB2/AGTR1/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CALCRL/CCL13/CCL21/CCL23/CCR1/CCR2/CCR4/CCRL2/CD55/CNR1/CX3CL1/CX3CR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CYSLTR1/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/FPR3/FZD4/FZD5/GIPR/GNG11/GNG2/GNG7/GPR17/GPR183/GPR39/GPR4/GPR65/NMUR1/P2RY13/P2RY14/PPBP/PROK2/PTAFR/PTGER2/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/S1PR1/S1PR4/SCTR/SHH/SSTR1/TACR1/TBXA2R/WNT2/WNT3A/WNT7A",77
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","61/1304","134/7442",3.39726149874349e-14,6.75488828000164e-12,5.91242702939218e-12,"ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRB1/ADRB2/AGTR1/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CCL13/CCL21/CCL23/CCR1/CCR2/CCR4/CCRL2/CNR1/CX3CL1/CX3CR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CYSLTR1/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/FPR3/GPR17/GPR183/GPR39/GPR4/GPR65/NMUR1/P2RY13/P2RY14/PPBP/PROK2/PTAFR/PTGER2/PTGER4/PTGFR/PTGIR/RXFP1/S1PR1/S1PR4/SSTR1/TACR1/TBXA2R",61
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","134/1304","429/7442",6.17240938479644e-13,1.05195491372317e-10,9.20756407476402e-11,"ALDH3B1/ALOX5/ANO6/ANPEP/ARG1/ARHGAP9/ASAH1/ATP11A/ATP8A1/AZU1/BST1/C3/C3AR1/C5AR1/CAT/CD14/CD33/CD36/CD47/CD53/CD55/CD68/CD93/CEACAM6/CFD/CFP/CLEC12A/COTL1/CR1/CRISPLD2/CST3/CTSG/CTSH/CTSS/CXCR1/CXCR2/CYBB/DEFA1B/DOCK2/DOK3/ELANE/ENPP4/FCAR/FCER1G/FCGR2A/FCGR2C/FCGR3B/FCN1/FGL2/FGR/FPR1/FPR2/GCA/GMFG/HBB/HK3/HLA-B/HLA-C/HP/HVCN1/IQGAP2/ITGAL/ITGAM/ITGAX/ITGB2/KCNAB2/LAIR1/LGALS3/LILRA3/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LPCAT1/LRG1/LTA4H/LYZ/METTL7A/MGAM/MME/MMP25/MNDA/MPO/MVP/NCKAP1L/NFAM1/NFASC/NPC2/OLR1/ORM1/OSCAR/P2RX1/PIGR/PLAC8/PLEKHO2/PPBP/PRTN3/PTAFR/PTPRB/PTPRC/PTPRN2/PTX3/QSOX1/RAB27A/RAB37/RAP1A/RETN/RHOF/S100A12/SDCBP/SELL/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC2A3/SLC44A2/SLCO4C1/SLPI/STK10/STOM/TBC1D10C/TCIRG1/TIMP2/TLR2/TMEM173/TNFRSF1B/TYROBP/UNC13D",134
"R-HSA-397014","R-HSA-397014","Muscle contraction","57/1304","134/7442",7.67199437177228e-12,1.14408616069054e-09,1.00139716010501e-09,"ABCC9/ACTA2/ACTG2/ACTN2/ANXA6/ATP1A2/ATP1B2/ATP2A3/CACNA1C/CACNA1D/CACNA2D2/CACNB2/CACNB4/CACNG4/CASQ2/CLIC2/CORIN/DES/DMD/DYSF/FGF14/FKBP1B/FXYD1/FXYD6/ITGA1/ITPR1/KAT2B/KCNE1/KCNJ12/KCNK17/KCNK3/KCNK5/KCNQ1/LMOD1/MYH11/MYL9/MYLK/NOS1/NPR1/PLN/RYR2/SCN1A/SCN3B/SCN4B/SCN7A/SLC8A1/SORBS1/SORBS3/TBX5/TCAP/TLN1/TMOD1/TMOD2/TNNC1/TNNT2/TTN/VIM",57
"R-HSA-418555","R-HSA-418555","G alpha (s) signalling events","38/1304","72/7442",9.31267908205798e-12,1.2344473494328e-09,1.08048861396509e-09,"ADCY4/ADCY6/ADCY7/ADCY8/ADCY9/ADORA2A/ADRB1/ADRB2/ARRB1/ARRB2/CALCRL/GIPR/GNAI2/GNG11/GNG2/GNG7/GRK5/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE7B/PDE8B/PTGER2/PTGER4/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/SCTR/VIPR1",38
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","17/1304","20/7442",8.46367824009055e-11,1.0097168140428e-08,8.83786190965245e-09,"C2/C3/C3AR1/C4A/C4BPA/C4BPB/C5/C5AR1/C6/C7/CD55/CFH/CFI/CFP/CR1/PROS1/VTN",17
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","37/1304","79/7442",1.48290079606002e-09,1.60827331790873e-07,1.40769147338903e-07,"AGTR1/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CCL13/CCL21/CCL23/CCR1/CCR2/CCR4/CCRL2/CX3CL1/CX3CR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/EDN1/EDNRA/EDNRB/F2RL3/FPR1/FPR2/FPR3/NMUR1/PPBP/PROK2/RXFP1/SSTR1/TACR1",37
"R-HSA-5683826","R-HSA-5683826","Surfactant metabolism","18/1304","26/7442",8.2101665859873e-09,8.16227394756904e-07,7.14428530991175e-07,"ABCA3/ADORA2A/CSF2RA/CSF2RB/CTSH/DMBT1/GATA6/LMCD1/NAPSA/PGA3/PGA4/SFTA3/SFTPA1/SFTPA2/SFTPB/SFTPC/SFTPD/SLC34A2",18
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","45/1304","114/7442",2.08708845468661e-08,1.82338848192672e-06,1.59597774215495e-06,"ADCY4/ADCY6/ADCY7/ADCY8/ADCY9/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CCL21/CCL23/CCR1/CCR2/CCR4/CNR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/FPR1/FPR2/FPR3/GNAI2/GNG11/GNG2/GNG7/GPR17/NMUR1/P2RY13/P2RY14/PPBP/RGS11/RGS16/RGS18/RGS5/RGS9/S1PR1/S1PR4/SSTR1",45
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","78/1304","245/7442",2.13976854542951e-08,1.82338848192672e-06,1.59597774215495e-06,"A2M/ADAMTS1/ADAMTS8/ADAMTS9/BMP2/CAPN13/CAPN2/CAPN3/CAPN8/CAPN9/CD151/CD47/CEACAM6/COL13A1/COL14A1/COL21A1/COL4A3/COL4A4/COL6A6/COL8A1/CTSG/CTSS/DCN/DDR2/DMD/EFEMP1/EFEMP2/ELANE/ELN/EMILIN2/FBLN5/FBN3/FGA/FGF2/FGG/ICAM1/ICAM2/ICAM4/ICAM5/ITGA1/ITGA10/ITGA2B/ITGA7/ITGA8/ITGA9/ITGAL/ITGAM/ITGAX/ITGB2/ITGB6/LOC100505984/JAM2/JAM3/KDR/LAMA2/LAMA4/LAMB2/LAMC3/LTBP2/LTBP4/MATN3/MFAP4/MMP19/MMP24/MMP25/NTN4/PCOLCE2/PDGFB/SDC2/SDC4/TGFB2/THBS1/TIMP2/TLL1/TNXB/TPSAB1/VTN/VWF",78
