"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-388396","R-HSA-388396","GPCR downstream signaling","74/733","321/7444",8.80150105223263e-13,1.02009397195376e-09,9.31106163946715e-10,"ADCY4/ADCY6/ADORA2A/ADRA1A/ADRA1D/ADRB1/ADRB2/AGTR1/ARHGEF10/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF6/ARHGEF7/ARRB1/ARRB2/CALCRL/CCL23/CXCL3/CXCR1/DGKH/EDNRB/F2RL3/FGD2/FGD4/GAB2/GABBR1/GIPR/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GNRH1/GPR17/GPR4/GPSM1/GRK5/IL3RA/ITPR1/JAK2/NMUR1/P2RY14/PDE1B/PDE2A/PDE3A/PDE7B/PDE8A/PDE8B/PIK3CD/PIK3R5/PIK3R6/PLCB2/PPBP/PRKCB/PRKCE/PROK2/PTGER2/PTGIR/PTH1R/RAMP2/RAMP3/RASGRF2/RASGRP2/RGS11/RGS18/RGS3/RHOB/S1PR1/SSTR1/TBXA2R/TRPC6/VIPR1",74
"R-HSA-109582","R-HSA-109582","Hemostasis","98/733","492/7444",2.01987117269656e-12,1.17051534457766e-09,1.06840554134739e-09,"A2M/ACTN2/ANGPT1/ARRB1/ARRB2/ATP1B2/CD244/CD36/CFD/CLEC3B/DGKH/DOCK11/DOCK2/DOCK4/DOCK6/DOCK8/DOCK9/ESAM/F10/F2RL3/FGR/FYN/GAB2/GATA2/GATA6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GUCY1A2/GUCY1B3/GYPC/HABP4/HBB/HGF/IL3RA/INPP5D/ITGA1/ITGA10/ITGA2B/ITGAL/ITGAX/ITGB3/ITIH3/ITIH4/ITPR1/JAK2/JAM2/JAM3/KCNMB1/KIF21B/KIF27/KLC1/LAT/MAFK/MMRN1/MRVI1/NFE2/NHLRC2/P2RX1/P2RX2/P2RX7/PDE1B/PDE2A/PDE3A/PDE5A/PHF21A/PIK3CD/PIK3R5/PIK3R6/PLCG1/PPBP/PPP2R5B/PRKAR2B/PRKCB/PRKCE/PRKG1/PRTN3/PTGIR/RAF1/RAPGEF3/RAPGEF4/RASGRP2/RHOB/SELP/SERPING1/SH2B3/SPN/LOC105369247/SYTL4/TBXA2R/TEK/TNFRSF10D/TRPC6/TUBB1/ZFPM2",98
"R-HSA-418555","R-HSA-418555","G alpha (s) signalling events","26/733","72/7444",1.47463243572224e-09,5.69699664334024e-07,5.20001964175736e-07,"ADCY4/ADCY6/ADORA2A/ADRB1/ADRB2/ARRB1/ARRB2/CALCRL/GIPR/GNAI2/GNG11/GNG2/GNG7/GRK5/PDE1B/PDE2A/PDE3A/PDE7B/PDE8A/PDE8B/PTGER2/PTGIR/PTH1R/RAMP2/RAMP3/VIPR1",26
"R-HSA-881907","R-HSA-881907","Gastrin-CREB signalling pathway via PKC and MAPK","61/733","309/7444",5.91625104345909e-08,1.71423373984227e-05,1.564692710178e-05,"ACTN2/ADRA1A/ADRA1D/AGTR1/ANGPT1/ARRB1/ARRB2/CCL23/DGKH/DLG4/DUSP1/EDNRB/EREG/F2RL3/FGF2/FGF7/FGFR4/FYN/GFRA1/GNA14/GNAQ/GNG11/GNG2/GNG7/GNRH1/GPR17/GPR4/GRK5/HGF/IL3RA/ITGA2B/ITGB3/ITPR1/JAK2/KL/LAT/NMUR1/PDGFRA/PDGFRB/PLCB2/PPP2R5B/PRKCE/PROK2/PSMD6/RAF1/RAPGEF2/RASA2/RASA3/RASAL3/RASGRF2/RASGRP2/RASGRP4/RGS18/RGS3/RPS6KA2/SHC2/SPTBN1/SYNGAP1/TBXA2R/TEK/TRPC6",61
"R-HSA-397014","R-HSA-397014","Muscle contraction","34/733","134/7444",1.40043786217841e-07,3.24621496452955e-05,2.96303168734589e-05,"ABCC9/ACTA1/ACTG2/ACTN2/ATP1A2/ATP1B2/CACNA1C/CACNA1D/CACNB2/CASQ2/CLIC2/DES/DMPK/DYSF/FXYD1/ITGA1/ITPR1/KAT2B/KCNK17/KCNK3/LMOD1/MYH3/NPR1/PLN/RYR2/SCN1B/SCN4B/SCN7A/SORBS1/TBX5/TCAP/TMOD1/TNNC1/TRPC1",34
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","24/733","86/7444",1.57812727846829e-06,0.000304841585957459,0.000278248756993094,"CD22/CD247/CD300E/CD300LG/CD34/CLEC2D/HLA-E/ICAM2/ICAM5/ITGAL/KLRB1/KLRD1/KLRK1/KLRC4-KLRK1/LILRA1/LILRA6/LILRB1/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRB5/OSCAR",24
"R-HSA-416476","R-HSA-416476","G alpha (q) signalling events","26/733","102/7444",3.79556714648513e-06,0.000628437474682324,0.000573615786799633,"ADRA1A/ADRA1D/AGTR1/CCL23/DGKH/EDNRB/F2RL3/GNA14/GNAQ/GNG11/GNG2/GNG7/GNRH1/GPR17/GPR4/GRK5/ITPR1/NMUR1/PLCB2/PRKCE/PROK2/RASGRP2/RGS18/RGS3/TBXA2R/TRPC6",26
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","45/733","230/7444",4.38701354360393e-06,0.00063556858712962,0.000580124817279204,"A2M/ACTN2/ARRB1/ARRB2/CD36/CFD/CLEC3B/DGKH/F2RL3/FYN/GAB2/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/HABP4/HGF/IL3RA/ITGA2B/ITGB3/ITIH3/ITIH4/ITPR1/JAK2/LAT/MMRN1/NHLRC2/PIK3CD/PIK3R5/PIK3R6/PPBP/PRKCB/PRKCE/RAF1/RAPGEF3/RAPGEF4/RASGRP2/RHOB/SELP/SERPING1/SYTL4/TBXA2R/TRPC6",45
"R-HSA-5083635","R-HSA-5083635","Defective B3GALTL causes Peters-plus syndrome (PpS)","12/733","28/7444",5.22327669787569e-06,0.000665171159422637,0.000607145011779438,"ADAMTS10/ADAMTS3/ADAMTS4/ADAMTS6/ADAMTS7/ADAMTS8/ADAMTS9/ADAMTSL2/ADAMTSL3/ADAMTSL4/CFP/THSD1",12
"R-HSA-1247673","R-HSA-1247673","Erythrocytes take up oxygen and release carbon dioxide","6/733","7/7444",5.73918170338772e-06,0.000665171159422637,0.000607145011779438,"AQP1/CA1/CA4/HBA1/HBA2/HBB",6
"R-HSA-5173214","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins","12/733","29/7444",8.11902648079946e-06,0.000845602883844686,0.000771836790576186,"ADAMTS10/ADAMTS3/ADAMTS4/ADAMTS6/ADAMTS7/ADAMTS8/ADAMTS9/ADAMTSL2/ADAMTSL3/ADAMTSL4/CFP/THSD1",12
"R-HSA-194840","R-HSA-194840","Rho GTPase cycle","30/733","132/7444",8.75516359459554e-06,0.000845602883844686,0.000771836790576186,"A2M/ARAP3/ARHGAP10/ARHGAP15/ARHGAP17/ARHGAP20/ARHGAP25/ARHGAP29/ARHGAP6/ARHGAP9/ARHGEF10/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF6/ARHGEF7/CHN1/DLC1/FGD2/FGD4/MYO9B/OPHN1/RASGRF2/RHOB/RHOBTB1/RHOJ/STARD13/STARD8/SYDE1/TRIP10",30
