"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-388396","R-HSA-388396","GPCR downstream signaling","150/1587","321/7444",2.68576358668812e-25,3.55326522518838e-22,3.07590608664913e-22,"ABR/ADCY4/ADCY5/ADCY6/ADCY7/ADCY9/ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/AKAP13/AKT3/ARHGEF1/LOC100505585/ARHGEF10/ARHGEF10L/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF38/ARHGEF6/ARHGEF7/ARRB1/ARRB2/C3/C3AR1/C5/C5AR1/CALCRL/CCL21/CCL23/CCR1/CCR2/CCR4/CNR1/CSF2RA/CSF2RB/CXCL12/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/DGKD/DGKE/DGKG/DGKH/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FGD2/FGD3/FGD4/FPR1/FPR2/GAB2/GABBR1/GIPR/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GNRH1/GPR17/GPR4/GPR65/GPSM1/GRK5/HRH2/IL3RA/ITPR1/JAK2/JAK3/KALRN/MCF2L/MGLL/NMUR1/NPY1R/OBSCN/P2RY13/P2RY14/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE8A/PDE8B/PIK3CD/PIK3R1/PIK3R3/PIK3R5/PIK3R6/PLCB2/PLCB4/PLEKHG2/PPBP/PREX1/PRKCA/PRKCB/PRKCE/PRKCH/PRKCQ/PROK2/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RASGRF2/RASGRP2/REEP1/RGS1/RGS11/RGS18/RGS2/RGS3/RGS5/RGS9/RHOB/ROCK2/RXFP1/S1PR1/S1PR2/S1PR4/SCTR/SSTR1/TAC1/TBXA2R/TRPC6/VIPR1",150
"R-HSA-109582","R-HSA-109582","Hemostasis","185/1587","492/7444",8.65223174766538e-18,5.72345130108065e-15,4.95454112708417e-15,"A2M/ACTN2/ADRA2A/AKT3/ALB/ANGPT1/ANXA5/APBB1IP/ARRB1/ARRB2/ATP1B2/ATP2A3/CABLES1/CAV1/CD244/CD36/CD74/CD84/CEACAM6/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/DGKD/DGKE/DGKG/DGKH/DOCK10/DOCK11/DOCK2/DOCK4/DOCK5/DOCK6/DOCK8/DOCK9/DOK2/EHD1/EHD2/ESAM/F10/F13A1/F2RL3/F5/F8/FCER1G/FERMT3/FGA/FGG/FGR/FLNA/FN1/FYN/GAB2/GAS6/GATA2/GATA6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GUCY1A2/GUCY1A3/GUCY1B3/GYPC/HABP4/HBB/HGF/IGF1/IL3RA/INPP5D/IRF1/ITGA1/ITGA10/ITGA2B/ITGA4/ITGA5/ITGAL/ITGAM/ITGAX/ITGB2/ITGB3/ITIH3/ITIH4/ITPR1/JAK2/JAK3/JAM2/JAM3/JMJD1C/KCNMB1/KCNMB4/KIF13B/KIF19/KIF1C/KIF21B/KIF26A/KIF27/KLC1/LAT/LCP2/MAFF/MAFK/MGLL/MMRN1/MRVI1/NFE2/NOS3/OLR1/ORM1/P2RX1/P2RX2/P2RX7/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE5A/PDGFB/PHACTR2/PIK3CD/PIK3R1/PIK3R3/PIK3R5/PIK3R6/PLEK/PPBP/PRKAR2B/PRKCA/PRKCB/PRKCE/PRKCH/PRKCQ/PRKCZ/PRKG1/PROS1/PRTN3/PTGIR/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOB/SDC2/SELE/SELL/SELP/SELPLG/SERPINA1/SERPINB6/SERPINE1/SERPING1/SH2B3/SIRPA/SLC7A6/SLC7A7/SLC8A1/SPARC/SPN/LOC105369247/SRGN/SYTL4/TBXA2R/TEK/TFPI/TGFB2/THBD/THBS1/TIMP1/TIMP3/TLN1/TNFRSF10D/TREM1/TRPC6/TSPAN7/TTN/TUBB1/VCL/VEGFC/VWF/ZFPM2",185
"R-HSA-397014","R-HSA-397014","Muscle contraction","72/1587","134/7444",1.02335426159136e-16,4.51299229361789e-14,3.90669977758385e-14,"ABCC9/ACTA1/ACTA2/ACTG2/ACTN2/ANXA6/ATP1A2/ATP1B2/ATP2A3/CACNA1C/CACNA1D/CACNA2D2/CACNA2D4/CACNB1/CACNB2/CACNB4/CACNG4/CALD1/CASQ2/CLIC2/DES/DMD/DMPK/DYSF/FGF14/FKBP1B/FXYD1/FXYD6/ITGA1/ITPR1/KAT2B/KCNE1/KCNJ12/KCNK17/KCNK3/KCNK5/KCNQ1/LMOD1/MYBPC1/MYH11/MYH3/MYL5/MYL9/MYLK/NPR1/NPR2/PLN/PXN/RYR2/SCN1A/SCN1B/SCN3B/SCN4B/SCN7A/SLC8A1/SORBS1/SORBS3/TBX5/TCAP/TLN1/TMOD1/TMOD2/TNNC1/TNNI2/TNNT2/TNNT3/TPM1/TPM2/TRPC1/TTN/VCL/VIM",72
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","52/1587","86/7444",2.80686201973244e-15,9.28369613026506e-13,8.03648915123395e-13,"C3/CD1D/CD22/CD247/CD300C/CD300E/CD300LF/CD300LG/CD33/CD34/CLEC2B/CLEC2D/FCGR3A/HCST/HLA-B/HLA-C/HLA-E/HLA-F/ICAM1/ICAM2/ICAM4/ICAM5/ITGA4/ITGAL/ITGB2/KLRB1/KLRD1/KLRK1/KLRC4-KLRK1/LAIR1/LILRA1/LILRA2/LILRA3/LILRA5/LILRA6/LILRB1/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRB5/OSCAR/SELL/SFTPD/SIGLEC1/SIGLEC10/SIGLEC5/SIGLEC7/SIGLEC9/TREM1/TYROBP",52
"R-HSA-166658","R-HSA-166658","Complement cascade","27/1587","32/7444",4.09956621062074e-14,1.08474521933025e-11,9.39016428874813e-12,"C1QA/C1QB/C1R/C1S/C2/C3/C3AR1/C4A/C4BPA/C4BPB/C5/C5AR1/C6/C7/CD55/CD59/CFD/CFH/CFI/CFP/CLU/CR1/FCN1/FCN3/MASP1/PROS1/VTN",27
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","102/1587","245/7444",2.33299086132398e-13,5.14424484921938e-11,4.45314746863244e-11,"A2M/ADAM8/ADAMTS1/ADAMTS2/ADAMTS3/ADAMTS4/ADAMTS8/ADAMTS9/BGN/BMP2/BMP4/CAPN10/CAPN2/CAPN3/CAPN8/CAPN9/CEACAM6/COL13A1/COL14A1/COL21A1/COL4A1/COL4A2/COL4A3/COL4A4/COL5A3/COL6A1/COL6A2/COL6A6/COL8A1/CTSG/CTSS/DCN/DDR2/DMD/EFEMP1/EFEMP2/ELANE/ELN/EMILIN2/FBLN1/FBLN5/FBN1/FBN3/FGA/FGF2/FGG/FMOD/FN1/ICAM1/ICAM2/ICAM4/ICAM5/ITGA1/ITGA10/ITGA2B/ITGA4/ITGA5/ITGA7/ITGA8/ITGA9/ITGAL/ITGAM/ITGAX/ITGB2/ITGB3/JAM2/JAM3/KDR/LAMA2/LAMA4/LAMA5/LAMB1/LAMB2/LAMC3/LTBP2/LTBP4/MATN3/MFAP4/MMP19/MMP2/MMP24/MMP25/MMP8/NCAM1/NID1/NTN4/PDGFB/PRKCA/SDC2/SERPINE1/SPARC/TGFB2/THBS1/TIMP1/TIMP2/TLL1/TNR/TNXB/TPSAB1/VCAN/VTN/VWF",102
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","94/1587","230/7444",7.57014056087327e-12,1.43075656600505e-09,1.23854329777897e-09,"A2M/ACTN2/ADRA2A/AKT3/ALB/ANXA5/APBB1IP/ARRB1/ARRB2/CD36/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/DGKD/DGKE/DGKG/DGKH/F13A1/F2RL3/F5/F8/FCER1G/FERMT3/FGA/FGG/FLNA/FN1/FYN/GAB2/GAS6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/HABP4/HGF/IGF1/IL3RA/ITGA2B/ITGB3/ITIH3/ITIH4/ITPR1/JAK2/JAK3/LAT/LCP2/MGLL/MMRN1/ORM1/PDGFB/PHACTR2/PIK3CD/PIK3R1/PIK3R3/PIK3R5/PIK3R6/PLEK/PPBP/PRKCA/PRKCB/PRKCE/PRKCH/PRKCQ/PRKCZ/PROS1/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOB/SELP/SERPINA1/SERPINE1/SERPING1/SPARC/SRGN/SYTL4/TBXA2R/TGFB2/THBS1/TIMP1/TIMP3/TLN1/TRPC6/TTN/VCL/VEGFC/VWF",94
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","62/1587","132/7444",3.29934216711435e-11,5.45628710886535e-09,4.7232687866058e-09,"ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/C3/C3AR1/C5/C5AR1/CCL13/CCL21/CCL23/CCR1/CCR2/CCR4/CCRL2/CNR1/CX3CR1/CXCL12/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/GNRH1/GPR17/GPR183/GPR39/GPR4/GPR65/HRH2/NMUR1/NPY1R/P2RY13/P2RY14/PPBP/PROK2/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/RXFP1/S1PR1/S1PR2/S1PR4/SSTR1/TAC1/TBXA2R",62
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","18/1587","20/7444",9.32386321384365e-11,1.37060789243502e-08,1.18647522534057e-08,"C2/C3/C3AR1/C4A/C4BPA/C4BPB/C5/C5AR1/C6/C7/CD55/CD59/CFH/CFI/CFP/CR1/PROS1/VTN",18
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","77/1587","185/7444",2.23794768430775e-10,2.96080478633916e-08,2.56303903213351e-08,"ADORA2A/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/C3/C3AR1/C5/C5AR1/CALCRL/CCL13/CCL21/CCL23/CCR1/CCR2/CCR4/CCRL2/CD55/CNR1/CX3CR1/CXCL12/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/EDN1/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/FZD4/GABBR1/GIPR/GNG11/GNG2/GNG7/GNRH1/GPR17/GPR183/GPR39/GPR4/GPR65/HRH2/NMUR1/NPY1R/P2RY13/P2RY14/PPBP/PROK2/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/S1PR1/S1PR2/S1PR4/SCTR/SHH/SSTR1/TAC1/TBXA2R/WNT2/WNT7A",77
