"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-388396","R-HSA-388396","GPCR downstream signaling","170/1778","337/7589",2.15301186457707e-28,3.13478527482421e-25,2.80798073706419e-25,"ADCY4/ADCY5/ADCY6/ADCY7/ADCY9/ADCYAP1/ADCYAP1R1/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2C/ADRB1/ADRB2/AGT/AGTR1/AGTR2/AKAP13/AKT3/ARHGEF1/LOC100505585/ARHGEF10/ARHGEF10L/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF3/ARHGEF38/ARHGEF6/ARHGEF7/ARRB1/ARRB2/C3/C3AR1/C5/C5AR1/CALCRL/CCL21/CCL23/CCR1/CCR10/CCR2/CCR4/CHRM1/CHRM2/CNR1/CSF2RA/CSF2RB/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/DGKD/DGKE/DGKG/DGKH/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FGD2/FGD3/FGD4/FPR1/FPR2/GAB2/GABBR1/GIPR/GNA14/GNAI2/GNAQ/GNG11/GNG7/GNGT2/GNRH1/GPR132/GPR17/GPR176/GPR4/GPR65/GRK5/HRH2/IL2RG/IL3RA/ITPR1/ITSN1/JAK2/JAK3/KALRN/LPAR6/MCF2L/MGLL/NMUR1/NPY1R/OBSCN/P2RY10/P2RY13/P2RY14/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE7B/PDE8A/PDPK1/PENK/PF4/PIK3CG/PIK3R1/PIK3R3/PIK3R5/PIK3R6/PLCB2/PLCB4/PPBP/PREX1/PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ/PROK2/PTGDR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RASGRF2/RASGRP2/REEP1/RGS11/RGS13/RGS18/RGS2/RGS22/RGS3/RGS5/RGS9/RHOB/ROCK1/ROCK2/RXFP1/S1PR1/S1PR3/S1PR4/SCTR/SSTR1/TAC1/TACR1/TAS2R14/TBXA2R/TRPC6/VAV1/VIP/VIPR1",170
"R-HSA-397014","R-HSA-397014","Muscle contraction","80/1778","147/7589",2.64249618627925e-16,1.92373722361129e-13,1.72318567094736e-13,"ABCC9/ACTA1/ACTA2/ACTC1/ACTG2/ACTN2/ANXA6/ATP1A2/ATP1B2/ATP2A3/CACNA1C/CACNA1D/CACNA1F/CACNA2D2/CACNA2D4/CACNB1/CACNB2/CACNB4/CALD1/CASQ2/CLIC2/DES/DMD/DMPK/DYSF/FXYD1/FXYD6/HIPK2/ITGA1/ITPR1/KAT2B/KCND1/KCND3/KCNE1/KCNIP2/KCNIP3/KCNJ12/KCNK15/KCNK17/KCNK3/KCNK5/KCNQ1/LMOD1/MYBPC1/MYBPC3/MYH11/MYH3/MYL9/MYLK/NOS1/NPPA/NPR1/NPR2/PLN/PXN/RYR2/SCN1A/SCN1B/SCN2B/SCN3B/SCN4B/SCN7A/SLC8A1/SORBS1/SORBS3/TBX5/TCAP/TLN1/TMOD1/TMOD2/TNNC1/TNNI2/TNNT2/TNNT3/TPM1/TPM2/TRPC1/TTN/VCL/VIM",80
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","57/1778","92/7589",2.38653898007002e-15,1.15826691832731e-12,1.03751641975675e-12,"C3/CD1D/CD22/CD247/CD300A/CD300C/CD300E/CD300LF/CD300LG/CD33/CD34/CD81/CD96/CLEC2B/CLEC2D/CRTAM/FCGR1A/FCGR2B/FCGR3A/HCST/HLA-E/HLA-F/ICAM1/ICAM2/ICAM3/ICAM4/ICAM5/ITGA4/ITGAL/ITGB2/ITGB7/KLRB1/KLRD1/KLRF1/LAIR1/LILRA1/LILRA2/LILRA5/LILRA6/LILRB1/LILRB2/LILRB5/MICB/OSCAR/SELL/SFTPD/SH2D1A/SH2D1B/SIGLEC1/SIGLEC10/SIGLEC12/SIGLEC7/SIGLEC8/SIGLEC9/SLAMF6/TREM1/TYROBP",57
"R-HSA-166658","R-HSA-166658","Complement cascade","28/1778","33/7589",1.28292994554508e-13,4.66986500178408e-11,4.18302684876408e-11,"C1QA/C1QB/C1R/C1S/C3/C3AR1/C4A/C4BPA/C4BPB/C5/C5AR1/C6/C7/CD55/CD59/CFD/CFH/CFI/CFP/CLU/CR1/FCN1/FCN3/GZMM/MASP1/MASP2/PROS1/VTN",28
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","110/1778","251/7589",3.41032873177742e-13,9.93087726693585e-11,8.89557326036258e-11,"A2M/ADAM8/ADAMTS1/ADAMTS2/ADAMTS3/ADAMTS4/ADAMTS5/ADAMTS8/ADAMTS9/BGN/BMP2/BMP4/CAPN2/CAPN3/CAPN8/CAPN9/CEACAM6/COL11A2/COL13A1/COL14A1/COL21A1/COL23A1/COL4A1/COL4A2/COL4A3/COL4A4/COL5A3/COL6A1/COL6A2/COL6A6/COL8A1/CTSG/CTSS/DCN/DDR2/DMD/EFEMP1/EFEMP2/ELANE/ELN/EMILIN2/FBLN1/FBLN5/FBN1/FBN3/FGA/FGG/FMOD/FN1/ICAM1/ICAM2/ICAM3/ICAM4/ICAM5/ITGA1/ITGA10/ITGA2B/ITGA4/ITGA5/ITGA7/ITGA8/ITGA9/ITGAL/ITGAM/ITGAX/ITGB2/ITGB3/ITGB7/JAM2/KDR/LAMA2/LAMA4/LAMA5/LAMB1/LAMB2/LAMC3/LTBP2/LTBP4/LUM/MATN3/MFAP3/MFAP4/MFAP5/MMP19/MMP2/MMP24/MMP25/MMP8/NCAM1/NID1/NID2/NTN4/PCOLCE/PCOLCE2/PDGFB/PRKCA/PRSS1/SDC2/SERPINE1/TGFB2/THBS1/TIMP1/TIMP2/TLL1/TNR/TNXB/TPSAB1/VCAN/VTN/VWF",110
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","72/1778","141/7589",6.04196527069054e-13,1.46618357235424e-10,1.31333245094484e-10,"ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2C/ADRB1/ADRB2/AGT/AGTR1/AGTR2/C3/C3AR1/C5/C5AR1/CCL13/CCL21/CCL23/CCR1/CCR10/CCR2/CCR4/CCRL2/CHRM1/CHRM2/CNR1/CX3CR1/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/GNRH1/GPR132/GPR17/GPR183/GPR35/GPR4/GPR65/HRH2/LPAR6/NMUR1/NPY1R/P2RY10/P2RY13/P2RY14/PENK/PF4/PPBP/PROK2/PTGDR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/RXFP1/S1PR1/S1PR3/S1PR4/SSTR1/TAC1/TACR1/TBXA2R",72
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","103/1778","234/7589",1.42570630859396e-12,2.96546912187543e-10,2.65631596443295e-10,"A1BG/A2M/ACTN2/ADRA2A/ADRA2C/AKT3/ALB/ANXA5/APBB1IP/ARRB1/ARRB2/CD36/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/DGKD/DGKE/DGKG/DGKH/F13A1/F2RL3/F5/F8/FCER1G/FERMT3/FGA/FGG/FLNA/FN1/FYN/GAB2/GAS6/GNA14/GNAI2/GNAQ/GNG11/GNG7/GNGT2/GP1BA/HGF/IGF1/IL2RG/IL3RA/ITGA2B/ITGB3/ITIH3/ITPR1/JAK2/JAK3/LAT/LCP2/LEFTY2/LHFPL2/MGLL/MMRN1/ORM1/ORM2/PDGFB/PDPK1/PF4/PIK3CG/PIK3R1/PIK3R3/PIK3R5/PIK3R6/PLEK/PPBP/PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ/PRKCZ/PROS1/QSOX1/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOB/SELP/SERPINA1/SERPINE1/SERPINF2/SERPING1/SRGN/SYTL4/TBXA2R/TGFB2/THBS1/TIMP1/TIMP3/TLN1/TRPC6/TTN/VAV1/VCL/VEGFC/VWF",103
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","89/1778","201/7589",3.36453182708103e-11,6.12344792528747e-09,5.48507228125447e-09,"ADCYAP1/ADCYAP1R1/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2C/ADRB1/ADRB2/AGT/AGTR1/AGTR2/C3/C3AR1/C5/C5AR1/CALCRL/CCL13/CCL21/CCL23/CCR1/CCR10/CCR2/CCR4/CCRL2/CD55/CHRM1/CHRM2/CNR1/CX3CR1/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR4/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/GABBR1/GIPR/GNG11/GNG7/GNGT2/GNRH1/GPR132/GPR17/GPR183/GPR35/GPR4/GPR65/HRH2/LPAR6/NMUR1/NPY1R/P2RY10/P2RY13/P2RY14/PENK/PF4/PPBP/PROK2/PTGDR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/S1PR1/S1PR3/S1PR4/SCTR/SHH/SSTR1/TAC1/TACR1/TAS2R14/TBXA2R/WNT2/WNT7A",89
"R-HSA-418555","R-HSA-418555","G alpha (s) signalling events","43/1778","77/7589",7.66229477095443e-10,1.23958902072329e-07,1.11036061066813e-07,"ADCY4/ADCY5/ADCY6/ADCY7/ADCY9/ADCYAP1/ADCYAP1R1/ADRB1/ADRB2/ARRB1/ARRB2/CALCRL/GIPR/GNAI2/GNG11/GNG7/GNGT2/GPR176/GRK5/HRH2/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE7B/PDE8A/PTGDR/PTGER2/PTGER4/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/SCTR/VIP/VIPR1",43
"R-HSA-194840","R-HSA-194840","Rho GTPase cycle","62/1778","130/7589",9.32705599413096e-10,1.35801935274547e-07,1.21644446070824e-07,"A2M/AKAP13/ARAP1/ARAP3/ARHGAP10/ARHGAP15/ARHGAP17/ARHGAP18/ARHGAP20/ARHGAP21/ARHGAP24/ARHGAP25/ARHGAP26/ARHGAP29/ARHGAP30/ARHGAP31/ARHGAP4/ARHGAP42/ARHGAP6/ARHGAP9/ARHGDIB/ARHGEF1/LOC100505585/ARHGEF10/ARHGEF10L/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF3/ARHGEF38/ARHGEF6/ARHGEF7/CHN1/CHN2/LOC101928168/DLC1/FAM13A/FGD2/FGD3/FGD4/GMIP/INPP5B/ITSN1/KALRN/MCF2L/MYO9A/MYO9B/OBSCN/OPHN1/PREX1/RASGRF2/RHOB/RHOBTB1/RHOBTB2/RHOJ/RHOU/SRGAP1/STARD13/STARD8/TAGAP/TRIP10/VAV1",62
