"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","62/1458","89/7620",2.17012720290247e-25,2.76257192929485e-22,2.39399295646504e-22,"C3/CD1C/CD1D/CD22/CD226/CD247/CD300A/CD300C/CD300E/CD300LF/CD300LG/CD33/CD34/CD3D/CD3E/CD3G/CD81/CD8A/CD96/CLEC2B/FCGR1A/FCGR2B/FCGR3A/HCST/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/ICAM1/ICAM2/ICAM3/ICAM5/ITGA4/ITGAL/ITGB2/KLRB1/KLRD1/LAIR1/LILRA2/LILRA5/LILRA6/LILRB1/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRB5/OSCAR/SELL/SFTPD/SH2D1A/SIGLEC1/SIGLEC12/SIGLEC7/SIGLEC8/SIGLEC9/SLAMF6/TREM1/TREM2/TYROBP",62
"R-HSA-388396","R-HSA-388396","GPCR downstream signaling","143/1458","338/7620",8.53650578941684e-24,5.43348593496382e-21,4.70855687753097e-21,"ABHD6/ABR/ADCY4/ADCY6/ADCY7/ADCY8/ADCY9/ADORA1/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/AKAP13/APLN/APLNR/ARHGEF10/ARHGEF15/ARHGEF17/ARHGEF2/ARHGEF3/ARHGEF38/ARHGEF6/ARRB1/ARRB2/C3/C3AR1/C5/C5AR1/CALCRL/CCL21/CCL5/CCR1/CCR2/CCR4/CCR5/CCR7/CNR1/CSF2RA/CSF2RB/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR3/CXCR4/CXCR6/CYSLTR1/CYSLTR2/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FGD2/FGD3/FGD4/FPR1/FPR2/FPR3/GAB2/GIPR/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GPR132/GPR4/GPR65/GRK5/IL2RB/IL2RG/IL3RA/ITPR1/ITPR2/JAK2/MGLL/P2RY10/P2RY13/P2RY14/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/LOC729966/PDE4D/PDE7B/PDE8B/PIK3CG/PIK3R1/PIK3R5/PIK3R6/PLCB2/PREX1/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ/PTAFR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAC2/RAMP2/RAMP3/RASGRP2/REEP1/REEP5/RGS11/RGS16/RGS18/RGS2/RGS3/RGS9/RHOA/RHOB/RXFP1/S1PR1/S1PR4/SCTR/SSTR1/SUCNR1/TACR1/TBXA2R/TRPC6/VAV1/VIPR1",143
"R-HSA-109582","R-HSA-109582","Hemostasis","175/1458","495/7620",9.53907660242714e-19,4.04774817162992e-16,3.50770255415566e-16,"A2M/ABHD6/ADRA2A/ANGPT1/ANXA5/APBB1IP/APLP2/ARRB1/ARRB2/ATP1B2/ATP2A3/CABLES1/CAV1/CD2/CD244/CD36/CD47/CD48/CD63/CD74/CD84/CEACAM6/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/DOCK10/DOCK11/DOCK2/DOCK4/DOCK8/DOCK9/DOK2/EHD1/EHD2/ESAM/F10/F13A1/F2RL3/F3/F8/FCER1G/FERMT3/FGA/FGG/FGR/FYN/GAB2/GAS6/GATA2/GATA6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GUCY1A2/GUCY1A3/GYPC/HBB/HGF/IGF1/IL2RB/IL2RG/IL3RA/INPP5D/IRF1/ITGA1/ITGA10/ITGA3/ITGA4/ITGAL/ITGAM/ITGAX/ITGB2/ITGB3/ITPR1/ITPR2/JAK2/JAM2/JAM3/JMJD1C/KCNMB1/KIF13B/KIF19/KIF1C/KIF21B/KIF26A/LCP2/LHFPL2/MAFF/MAPK3/MGLL/MMRN1/MRVI1/NOS1/NOS3/OLR1/ORM1/P2RX1/P2RX7/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE5A/PDGFB/PHACTR2/PIK3CG/PIK3R1/PIK3R5/PIK3R6/PLCG2/PLEK/PRKAR2B/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ/PRKCZ/PRKG1/PRKG2/PROS1/PTGIR/PTPN6/LOC105369247/QSOX1/RAC2/RAP1A/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOA/RHOB/SDC2/SDC4/SELE/SELL/SELP/SELPLG/SERPINA1/SERPINB6/SERPIND1/SERPINF2/SERPING1/SH2B3/SIRPA/SLC7A7/SLC8A1/SPN/SRGN/TBXA2R/TEK/TFPI/TGFB2/THBD/THBS1/TIMP3/TLN1/TNFRSF10D/TREM1/TRPC6/TSPAN7/TTN/TUBA1A/VAV1/VEGFC/VWF/ZFPM2",175
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","148/1458","422/7620",1.37210946472543e-15,4.36673837148869e-13,3.78413347113751e-13,"ACAA1/AGPAT2/ALDH3B1/ALOX5/ANO6/ANPEP/ARHGAP9/ASAH1/ATP11A/ATP8A1/BRI3/BST1/BST2/C3/C3AR1/C5AR1/CAT/CD14/CD300A/CD33/CD36/CD47/CD53/CD55/CD59/CD63/CD68/CD93/CEACAM6/CFD/CFP/CHIT1/CLEC12A/COTL1/CR1/CRISP3/CRISPLD2/CST3/CTSD/CTSH/CTSS/CTSZ/CXCR1/CXCR2/CYBA/CYBB/DOCK2/DOK3/ENPP4/FCER1G/FCGR2A/FCGR2C/FCGR3B/FCN1/FGL2/FGR/FPR1/FPR2/FUCA1/GCA/GLIPR1/GMFG/GRN/HBB/HEXB/HK3/HLA-B/HLA-C/HP/HVCN1/IQGAP2/ITGAL/ITGAM/ITGAX/ITGB2/KCNAB2/LAIR1/LGALS3/LILRB2/LILRB3/LOC102725035/LOC107987425/LOC107987462/LPCAT1/LRG1/LTA4H/LYZ/METTL7A/MGAM/MME/MMP25/MNDA/MVP/NCKAP1L/NFAM1/NFASC/NPC2/OLR1/ORM1/OSCAR/P2RX1/PGM1/PIGR/PLAC8/PLEKHO2/PRKCD/PTAFR/PTPN6/PTPRB/PTPRC/PTPRJ/PTPRN2/PTX3/QSOX1/RAB27A/RAB31/RAB37/RAP1A/RETN/RHOA/RHOF/S100A12/SDCBP/SELL/SERPINA1/SERPINB1/SERPINB6/SIGLEC14/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC2A3/SLC44A2/SLCO4C1/SLPI/STK10/STOM/TBC1D10C/TCIRG1/TIMP2/TLR2/TMEM173/TNFRSF1B/TYROBP/UNC13D/VAT1/VNN1",148
"R-HSA-166658","R-HSA-166658","Complement cascade","27/1458","32/7620",2.46687067933082e-15,6.28065274957626e-13,5.44269573039726e-13,"C1QA/C1QB/C1QC/C2/C3/C3AR1/C4A/C4BPA/C5/C5AR1/C6/C7/C8B/CD55/CD59/CFD/CFH/CFI/CFP/CLU/CR1/FCN1/FCN3/GZMM/MASP1/PROS1/VTN",27
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","68/1458","145/7620",1.73294550792284e-14,3.67673271930962e-12,3.18618753035638e-12,"ADORA1/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CCL13/CCL21/CCL5/CCR1/CCR2/CCR4/CCR5/CCR7/CCRL2/CNR1/CX3CL1/CX3CR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR3/CXCR4/CXCR6/CYSLTR1/CYSLTR2/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/FPR3/GPR132/GPR183/GPR39/GPR4/GPR65/P2RY10/P2RY13/P2RY14/PTAFR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/RXFP1/S1PR1/S1PR4/SSTR1/SUCNR1/TACR1/TBXA2R",68
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","84/1458","205/7620",2.05852971297874e-13,3.74358332088848e-11,3.24411900631837e-11,"ADORA1/ADRA1D/ADRA2A/ADRB1/ADRB2/AGT/AGTR1/AGTR2/APLN/APLNR/C3/C3AR1/C5/C5AR1/CALCRL/CCL13/CCL21/CCL5/CCR1/CCR2/CCR4/CCR5/CCR7/CCRL2/CD55/CNR1/CX3CL1/CX3CR1/CXCL12/CXCL16/CXCL2/CXCL3/CXCL5/CXCR1/CXCR2/CXCR3/CXCR4/CXCR6/CYSLTR1/CYSLTR2/EDN1/EDN3/EDNRA/EDNRB/F2RL3/FFAR2/FPR1/FPR2/FPR3/FZD4/FZD5/GIPR/GNG11/GNG2/GNG7/GPR132/GPR183/GPR39/GPR4/GPR65/P2RY10/P2RY13/P2RY14/PTAFR/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/PTH1R/RAMP2/RAMP3/RXFP1/S1PR1/S1PR4/SCTR/SHH/SSTR1/SUCNR1/TACR1/TBXA2R/WNT2/WNT3A/WNT7A",84
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","87/1458","227/7620",6.35095327069769e-12,1.01059543919977e-09,8.75763029959366e-10,"A2M/ABHD6/ADRA2A/ANXA5/APBB1IP/APLP2/ARRB1/ARRB2/CD36/CD63/CFD/CLEC3B/CLU/CSF2RA/CSF2RB/CTSW/F13A1/F2RL3/F8/FCER1G/FERMT3/FGA/FGG/FYN/GAB2/GAS6/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/HGF/IGF1/IL2RB/IL2RG/IL3RA/ITGB3/ITPR1/ITPR2/JAK2/LCP2/LHFPL2/MAPK3/MGLL/MMRN1/ORM1/PDGFB/PHACTR2/PIK3CG/PIK3R1/PIK3R5/PIK3R6/PLCG2/PLEK/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ/PRKCZ/PROS1/PTPN6/QSOX1/RAC2/RAP1A/RAPGEF3/RAPGEF4/RARRES2/RASGRP2/RHOA/RHOB/SELP/SERPINA1/SERPINF2/SERPING1/SRGN/TBXA2R/TGFB2/THBS1/TIMP3/TLN1/TRPC6/TTN/VAV1/VEGFC/VWF",87
"R-HSA-202427","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","18/1458","20/7620",1.38809897504159e-11,1.76704999522794e-09,1.53129234299325e-09,"CD247/CD3D/CD3E/CD3G/CD4/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/PAG1/PTPN22/PTPRC/PTPRJ",18
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","18/1458","20/7620",1.38809897504159e-11,1.76704999522794e-09,1.53129234299325e-09,"C2/C3/C3AR1/C4A/C4BPA/C5/C5AR1/C6/C7/C8B/CD55/CD59/CFH/CFI/CFP/CR1/PROS1/VTN",18
