"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","16/471","35/7432",6.9811599075855e-11,5.70360764449735e-08,5.21749845724811e-08,"CCL20/CCL5/CCR1/CCR5/CCR6/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL2/CXCL5/CXCL6/CXCL9/CXCR3",16
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","38/471","193/7432",2.01053846110386e-10,5.8661447822823e-08,5.3661828195844e-08,"ADORA1/AGTR2/APLN/APLNR/AVPR2/BDKRB2/C5/CCL20/CCL5/CCR1/CCR5/CCR6/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL2/CXCL5/CXCL6/CXCL9/CXCR3/CYSLTR1/FPR3/GPBAR1/GPR39/IHH/OPN3/P2RY12/PTAFR/SCTR/SUCNR1/WNT3A/WNT4/WNT7A/WNT7B/WNT9A",38
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","23/471","78/7432",2.15403113180501e-10,5.8661447822823e-08,5.3661828195844e-08,"AGTR2/APLN/APLNR/AVPR2/BDKRB2/C5/CCL20/CCL5/CCR1/CCR5/CCR6/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL2/CXCL5/CXCL6/CXCL9/CXCR3/FPR3",23
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","31/471","140/7432",4.84335209502995e-10,8.44703556151201e-08,7.72710848247571e-08,"ADORA1/AGTR2/APLN/APLNR/AVPR2/BDKRB2/C5/CCL20/CCL5/CCR1/CCR5/CCR6/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL2/CXCL5/CXCL6/CXCL9/CXCR3/CYSLTR1/FPR3/GPBAR1/GPR39/OPN3/P2RY12/PTAFR/SUCNR1",31
"R-HSA-202430","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","11/471","17/7432",5.16954440729009e-10,8.44703556151201e-08,7.72710848247571e-08,"CD3D/CD3G/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5",11
"R-HSA-202427","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","11/471","20/7432",5.8888446154659e-09,8.01864341805939e-07,7.33522750347506e-07,"CD3D/CD3G/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5",11
"R-HSA-389948","R-HSA-389948","PD-1 signaling","11/471","21/7432",1.1665869578295e-08,1.36157363506672e-06,1.24552893241947e-06,"CD3D/CD3G/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5",11
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","26/471","119/7432",1.69800732008068e-08,1.73408997563239e-06,1.58629631218063e-06,"ADORA1/AGTR2/APLN/APLNR/BDKRB2/C5/CCL20/CCL5/CCR1/CCR5/CCR6/CXCL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL2/CXCL5/CXCL6/CXCL9/CXCR3/FPR3/OPN3/P2RY12/RGS4/SUCNR1",26
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","14/471","41/7432",1.00363016916432e-07,9.0379696410798e-06,8.26767821318902e-06,"CCL20/CCL22/CCL5/CCR1/CCR5/CD86/CXCL1/CXCL10/CXCL2/IL1A/IL1B/IL1RN/IL6/PTAFR",14
"R-HSA-202433","R-HSA-202433","Generation of second messenger molecules","12/471","30/7432",1.10623863415909e-07,9.0379696410798e-06,8.26767821318902e-06,"CD101/CD3D/CD3G/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5",12
