"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6805567","R-HSA-6805567","Keratinization","50/1126","65/7442",7.90138873575523e-29,4.48885451152892e-26,3.97419297872283e-26,"CASP14/CDSN/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT78/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH",50
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","50/1126","65/7442",7.90138873575523e-29,4.48885451152892e-26,3.97419297872283e-26,"CASP14/CDSN/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT78/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH",50
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","155/1126","429/7442",1.00948752133334e-28,4.48885451152892e-26,3.97419297872283e-26,"ANAPC1/AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDCA8/CDK1/CDK4/CDK6/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPJ/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP152/CEP250/CEP72/CEP76/CKAP5/CSNK2A1/DBF4/DHFR/DNA2/DSN1/E2F1/E2F2/E2F3/ERCC6L/ESCO2/ESPL1/FBXL18/FBXO5/FEN1/FKBPL/FOXM1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS5/HAUS8/HDAC1/HIST1H2BD/HIST1H2BJ/HIST1H4H/HIST1H4J/HIST2H4A/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LIG1/LIN9/LMNB1/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEK2/NUF2/NUP107/NUP155/NUP205/NUP37/PCNA/PKMYT1/PLK1/PLK4/POLA2/POLD2/POLE/POLE2/PPP2R3B/PRIM1/PRIM2/PSMC4/PSMD11/PSMD14/PSMD2/PTTG1/RAE1/RANGAP1/RCC2/RFC2/RFC3/RFC4/RFC5/RRM2/SKA1/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TMPO/TOP2A/TPX2/TUBA1C/TUBB/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/XPO1/YWHAG/ZWILCH/ZWINT",155
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","53/1126","108/7442",6.02456070380202e-17,2.00919099471797e-14,1.77883081833312e-14,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP37/PLK1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",53
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","47/1126","100/7442",2.92567045603988e-14,7.80568877671439e-12,6.91074158247735e-12,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NDC80/NDE1/NUF2/NUP107/NUP37/PLK1/RANGAP1/RCC2/SKA1/SPC24/SPC25/TUBA1C/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",47
"R-HSA-69190","R-HSA-69190","DNA strand elongation","24/1126","32/7442",5.16340615194384e-14,1.14799730111551e-11,1.01637573727737e-11,"CDC45/DNA2/FEN1/GINS1/GINS2/GINS3/GINS4/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PCNA/POLA2/POLD2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5",24
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","36/1126","67/7442",1.82616511733092e-13,3.48014895217063e-11,3.08113873931622e-11,"CENPA/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CENPW/DKC1/DNA2/FEN1/H2AFX/H2AFZ/HIST1H2BD/HIST1H2BJ/HIST1H4H/HIST1H4J/HIST2H4A/HJURP/LIG1/OIP5/PCNA/POLA2/POLD2/POLE/POLE2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RUVBL1",36
"R-HSA-68886","R-HSA-68886","M Phase","80/1126","246/7442",2.77623471482655e-12,4.62937138697326e-10,4.0985991447834e-10,"ANAPC1/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/ESPL1/FBXO5/H2AFX/H2AFZ/HIST1H2BD/HIST1H2BJ/HIST1H4H/HIST1H4J/HIST2H4A/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LMNB1/MAD2L1/MASTL/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP155/NUP205/NUP37/PLK1/PSMC4/PSMD11/PSMD14/PSMD2/PTTG1/RAE1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TMPO/TUBA1C/TUBB2B/TUBB3/UBE2C/VRK1/XPO1/ZWILCH/ZWINT",80
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","58/1126","157/7442",9.71159746089081e-12,1.43203980619342e-09,1.26785186029277e-09,"ANAPC1/BARD1/BLM/BRCA1/BRIP1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK1/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BJ/HIST1H4H/HIST1H4J/HIST2H4A/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMC4/PSMD11/PSMD14/PSMD2/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/SFN/TOPBP1/UBE2C/YWHAG/YWHAZ/ZNF385A",58
"R-HSA-5663220","R-HSA-5663220","RHO GTPases Activate Formins","47/1126","114/7442",1.07349310809102e-11,1.43203980619342e-09,1.26785186029277e-09,"AURKB/BIRC5/BUB1/BUB1B/CDC20/CDCA8/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/DIAPH3/DSN1/DVL3/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NDC80/NDE1/NUF2/NUP107/NUP37/PFN2/PLK1/RANGAP1/RCC2/RHOD/SKA1/SPC24/SPC25/TUBA1C/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",47
