"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6805567","R-HSA-6805567","Keratinization","54/1449","65/7442",1.76972709384849e-28,1.23703923860009e-25,1.06835630349696e-25,"CAPN1/CASP14/CDSN/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/EVPL/IVL/JUP/KLK12/KLK13/KLK5/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT78/KRT8/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM1",54
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","54/1449","65/7442",1.76972709384849e-28,1.23703923860009e-25,1.06835630349696e-25,"CAPN1/CASP14/CDSN/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/EVPL/IVL/JUP/KLK12/KLK13/KLK5/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT78/KRT8/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM1",54
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","177/1449","429/7442",6.66274685050794e-27,3.1048400323367e-24,2.68146338159039e-24,"ANAPC11/AURKA/AURKB/BANF1/BIRC5/BUB1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDCA5/CDCA8/CDK1/CDK4/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP250/CEP72/CEP76/CKAP5/CSNK2A1/DBF4/DHFR/DNA2/DSN1/DYNLL1/E2F1/E2F2/ERCC6L/ESCO1/ESCO2/ESPL1/FBXL18/FBXO5/FEN1/FKBPL/FOXM1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS1/HAUS8/HDAC1/HIST1H2BD/HIST1H2BJ/HIST1H2BK/HIST1H4H/HIST1H4J/HIST2H4A/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LIG1/LIN9/LMNB1/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/MYC/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEDD1/NEK2/NUF2/NUP155/NUP205/NUP210/NUP35/NUP37/NUP62/NUP93/PCNA/PKMYT1/PLK1/PLK4/POLA2/POLD2/POLE2/POLE3/PRIM1/PRIM2/PSMB3/PSMB5/PSMC4/PSMD10/PSMD11/PSMD14/PSMD2/PSMD3/PSMD8/PSME3/PTK6/PTTG1/RAE1/RANGAP1/RCC2/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3/RRM2/SET/SKA1/SKA2/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TFDP2/TMPO/TOP2A/TP53/TPX2/TUBA1C/TUBA4A/TUBB/TUBB2A/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/VRK2/WEE1/XPO1/YWHAG/ZW10/ZWILCH/ZWINT",177
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","56/1449","108/7442",3.60299606575957e-14,1.25924712498297e-11,1.08753591774374e-11,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP37/PLK1/RANGAP1/RCC2/SKA1/SKA2/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBA4A/TUBB2A/TUBB2B/TUBB3/XPO1/ZW10/ZWILCH/ZWINT",56
"R-HSA-69190","R-HSA-69190","DNA strand elongation","26/1449","32/7442",7.41329204682836e-14,2.07275645629321e-11,1.79011494267624e-11,"CDC45/DNA2/FEN1/GINS1/GINS2/GINS3/GINS4/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PCNA/POLA2/POLD2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3",26
"R-HSA-68886","R-HSA-68886","M Phase","97/1449","246/7442",1.42030095021111e-13,3.30930121399189e-11,2.85804419279324e-11,"ANAPC11/AURKB/BANF1/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/ESPL1/FBXO5/H2AFX/H2AFZ/HIST1H2BD/HIST1H2BJ/HIST1H2BK/HIST1H4H/HIST1H4J/HIST2H4A/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LMNB1/MAD2L1/MASTL/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP155/NUP205/NUP210/NUP35/NUP37/NUP62/NUP93/PLK1/PSMB3/PSMB5/PSMC4/PSMD10/PSMD11/PSMD14/PSMD2/PSMD3/PSMD8/PSME3/PTTG1/RAE1/RANGAP1/RCC2/SET/SKA1/SKA2/SMC2/SMC4/SPC24/SPC25/TMPO/TUBA1C/TUBA4A/TUBB2A/TUBB2B/TUBB3/UBE2C/VRK1/VRK2/XPO1/ZW10/ZWILCH/ZWINT",97
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","40/1449","67/7442",3.88853113358672e-13,6.92207864522753e-11,5.97818252095172e-11,"CENPA/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CENPW/DKC1/DNA2/FEN1/H2AFX/H2AFZ/HIST1H2BD/HIST1H2BJ/HIST1H2BK/HIST1H4H/HIST1H4J/HIST2H4A/HJURP/LIG1/OIP5/PCNA/POLA2/POLD2/POLE2/POLE3/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RPA1/RPA3/RUVBL1/RUVBL2",40
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","70/1449","157/7442",3.96113227194709e-13,6.92207864522753e-11,5.97818252095172e-11,"ANAPC11/BLM/BRCA1/BRCC3/BRIP1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDK1/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BJ/HIST1H2BK/HIST1H4H/HIST1H4J/HIST2H4A/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMB3/PSMB5/PSMC4/PSMD10/PSMD11/PSMD14/PSMD2/PSMD3/PSMD8/PSME3/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA1/RPA3/SFN/TOPBP1/TP53/UBE2C/UBE2V2/WEE1/YWHAG/YWHAZ/ZNF385A",70
"R-HSA-69481","R-HSA-69481","G2/M Checkpoints","60/1449","126/7442",5.86824354041926e-13,9.11533829945125e-11,7.87236881972034e-11,"BLM/BRCA1/BRCC3/BRIP1/CCNB1/CCNB2/CDC25A/CDC25C/CDC45/CDC6/CDK1/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BJ/HIST1H2BK/HIST1H4H/HIST1H4J/HIST2H4A/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMB3/PSMB5/PSMC4/PSMD10/PSMD11/PSMD14/PSMD2/PSMD3/PSMD8/PSME3/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA1/RPA3/SFN/TOPBP1/TP53/UBE2V2/WEE1/YWHAG/YWHAZ",60
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","50/1449","100/7442",5.16059845407295e-12,7.21451663879399e-10,6.23074360718071e-10,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NDC80/NDE1/NUF2/NUP37/PLK1/RANGAP1/RCC2/SKA1/SKA2/SPC24/SPC25/TUBA1C/TUBA4A/TUBB2A/TUBB2B/TUBB3/XPO1/ZW10/ZWILCH/ZWINT",50
