"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","176/1375","433/7582",9.66354169071413e-30,1.33066969081134e-26,1.13521184493021e-26,"ANAPC1/ANAPC7/AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDCA8/CDK1/CDK2/CDK4/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPJ/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP152/CEP250/CEP72/CEP76/CEP78/CKAP5/CKS1B/CSNK2A1/DBF4/DHFR/DNA2/DSN1/E2F1/E2F2/E2F3/ERCC6L/ESCO2/ESPL1/FBXO5/FEN1/FKBPL/FOXM1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS5/HAUS6/HAUS8/HDAC1/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BJ/HIST1H3H/HIST1H4H/HIST1H4I/HIST2H2BE/HIST4H4/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LIG1/LIN9/LMNB1/LPIN3/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEK2/NUF2/NUP107/NUP155/NUP205/NUP35/NUP37/NUP43/NUP85/NUPL2/PCNA/PKMYT1/PLK1/PLK4/POLA2/POLD1/POLD2/POLE/POLE2/POLE3/PPP2R3B/PRIM1/PRIM2/PSMB4/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RBL1/RCC2/RFC2/RFC3/RFC4/RFC5/RPA3/RRM2/SKA1/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TMPO/TOP2A/TPX2/TUBA1C/TUBB/TUBB2A/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/XPO1/YWHAG/ZWILCH/ZWINT",176
"R-HSA-6805567","R-HSA-6805567","Keratinization","52/1375","68/7582",8.84822035959376e-26,4.06133314505353e-23,3.46477681449355e-23,"CASP14/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK14/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT77/KRT78/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",52
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","52/1375","68/7582",8.84822035959376e-26,4.06133314505353e-23,3.46477681449355e-23,"CASP14/CSTA/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK14/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT23/KRT24/KRT31/KRT5/KRT6A/KRT6B/KRT6C/KRT75/KRT77/KRT78/KRT80/KRT81/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",52
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","56/1375","107/7582",8.44437914321888e-16,2.9069775200531e-13,2.47998082206112e-13,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP37/NUP43/NUP85/PLK1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBB2A/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",56
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","42/1375","69/7582",2.87160045092658e-15,7.9083876418518e-13,6.74674969101908e-13,"CENPA/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CENPW/DKC1/DNA2/FEN1/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BJ/HIST1H4H/HIST1H4I/HIST2H2BE/HIST4H4/HJURP/LIG1/OIP5/PCNA/POLA2/POLD1/POLD2/POLE/POLE2/POLE3/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RPA3/RUVBL1",42
"R-HSA-5693538","R-HSA-5693538","Homology Directed Repair","52/1375","98/7582",4.3449428758335e-15,9.97164390003788e-13,8.50694078847401e-13,"ATR/BARD1/BLM/BRCA1/BRCA2/BRIP1/CCNA1/CCNA2/CDK2/CHEK1/CLSPN/DNA2/EME1/EXO1/FEN1/GEN1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BJ/HIST1H4H/HIST1H4I/HIST2H2BE/HIST4H4/LIG3/PALB2/PARP1/PARP2/PCNA/POLD1/POLD2/POLE/POLE2/POLE3/POLQ/RAD51/RAD51AP1/RAD51C/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA3/TIMELESS/TIPIN/TOPBP1/XRCC2/XRCC3",52
"R-HSA-69190","R-HSA-69190","DNA strand elongation","26/1375","32/7582",1.2668019082836e-14,2.49198032529502e-12,2.1259412475857e-12,"CDC45/DNA2/FEN1/GINS1/GINS2/GINS3/GINS4/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PCNA/POLA2/POLD1/POLD2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RPA3",26
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","69/1375","158/7582",5.53269317338003e-14,9.52314812468038e-12,8.12432313354225e-12,"ANAPC1/ANAPC7/ATR/BARD1/BLM/BRCA1/BRIP1/BUB1B/CCNA1/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK1/CDK2/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BJ/HIST1H4H/HIST1H4I/HIST2H2BE/HIST4H4/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMB4/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA3/SFN/TOPBP1/UBE2C/YWHAG/YWHAZ/ZNF385A",69
"R-HSA-68886","R-HSA-68886","M Phase","94/1375","248/7582",6.56193371004047e-14,1.00397585763619e-11,8.56505031626335e-12,"ANAPC1/ANAPC7/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/ESPL1/FBXO5/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BJ/HIST1H3H/HIST1H4H/HIST1H4I/HIST2H2BE/HIST4H4/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LMNB1/LPIN3/MAD2L1/MASTL/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP155/NUP205/NUP35/NUP37/NUP43/NUP85/NUPL2/PLK1/PSMB4/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TMPO/TUBA1C/TUBB2A/TUBB2B/TUBB3/UBE2C/VRK1/XPO1/ZWILCH/ZWINT",94
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","50/1375","99/7582",1.88330297355993e-13,2.59330819459203e-11,2.21238538788725e-11,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NDC80/NDE1/NUF2/NUP107/NUP37/NUP43/NUP85/PLK1/RANGAP1/RCC2/SKA1/SPC24/SPC25/TUBA1C/TUBB2A/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",50
