"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5389840","R-HSA-5389840","Mitochondrial translation elongation","30/452","85/7444",4.62017213014302e-16,2.28977553813986e-13,1.73856986502423e-13,"DAP3/ERAL1/MRPL1/MRPL11/MRPL12/MRPL13/MRPL15/MRPL18/MRPL19/MRPL27/MRPL28/MRPL3/MRPL37/MRPL42/MRPL47/MRPL48/MRPL51/MRPS10/MRPS11/MRPS16/MRPS18A/MRPS23/MRPS26/MRPS28/MRPS33/MRPS34/MRPS35/MRPS7/TSFM/TUFM",30
"R-HSA-5368287","R-HSA-5368287","Mitochondrial translation","31/452","91/7444",4.69216298799152e-16,2.28977553813986e-13,1.73856986502423e-13,"DAP3/ERAL1/MRPL1/MRPL11/MRPL12/MRPL13/MRPL15/MRPL18/MRPL19/MRPL27/MRPL28/MRPL3/MRPL37/MRPL42/MRPL47/MRPL48/MRPL51/MRPS10/MRPS11/MRPS16/MRPS18A/MRPS23/MRPS26/MRPS28/MRPS33/MRPS34/MRPS35/MRPS7/MTIF2/TSFM/TUFM",31
"R-HSA-5368286","R-HSA-5368286","Mitochondrial translation initiation","29/452","85/7444",4.08568419254806e-15,1.32920925730897e-12,1.00923567422942e-12,"DAP3/ERAL1/MRPL1/MRPL11/MRPL12/MRPL13/MRPL15/MRPL18/MRPL19/MRPL27/MRPL28/MRPL3/MRPL37/MRPL42/MRPL47/MRPL48/MRPL51/MRPS10/MRPS11/MRPS16/MRPS18A/MRPS23/MRPS26/MRPS28/MRPS33/MRPS34/MRPS35/MRPS7/MTIF2",29
"R-HSA-5419276","R-HSA-5419276","Mitochondrial translation termination","28/452","85/7444",3.42445252605441e-14,8.35566416357276e-12,6.34424889037449e-12,"DAP3/ERAL1/MRPL1/MRPL11/MRPL12/MRPL13/MRPL15/MRPL18/MRPL19/MRPL27/MRPL28/MRPL3/MRPL37/MRPL42/MRPL47/MRPL48/MRPL51/MRPS10/MRPS11/MRPS16/MRPS18A/MRPS23/MRPS26/MRPS28/MRPS33/MRPS34/MRPS35/MRPS7",28
"R-HSA-69239","R-HSA-69239","Synthesis of DNA","28/452","91/7444",2.38692575448485e-13,3.89822510971035e-11,2.95982579512089e-11,"CDC6/CDT1/FEN1/MCM2/MCM3/MCM4/MCM5/PCNA/POLD2/PRIM2/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RFC2/RFC3/RFC5/RPA1",28
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","67/452","430/7444",2.43802061748802e-13,3.89822510971035e-11,2.95982579512089e-11,"AURKA/BANF1/CCNB1/CDC20/CDC6/CDCA5/CDK1/CDK4/CDT1/CENPE/CENPF/CENPH/CKAP5/CSNK2A1/DHFR/DYNLL1/FEN1/GORASP2/HMMR/KIF23/LMNB1/MAD2L1/MCM2/MCM3/MCM4/MCM5/MYBL2/NCAPD2/NCAPG/NCAPG2/NUP155/NUP35/NUP37/PCNA/PLK4/POLD2/PRIM2/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RAB8A/RFC2/RFC3/RFC5/RPA1/RRM2/SMC2/SPC25/SSNA1/TOP2A/TPX2/TUBA1C/YWHAG/ZW10/ZWILCH/ZWINT",67
"R-HSA-69481","R-HSA-69481","G2/M Checkpoints","33/452","126/7444",2.795858172948e-13,3.89822510971035e-11,2.95982579512089e-11,"BRCC3/CCNB1/CDC6/CDK1/CHEK1/EXO1/MCM2/MCM3/MCM4/MCM5/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RBBP8/RFC2/RFC3/RFC5/RPA1/SFN/SUMO1/YWHAG/YWHAZ",33
"R-HSA-69306","R-HSA-69306","DNA Replication","28/452","98/7444",1.84860481933367e-12,2.25529787958708e-10,1.71239183264593e-10,"CDC6/CDT1/FEN1/MCM2/MCM3/MCM4/MCM5/PCNA/POLD2/PRIM2/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RFC2/RFC3/RFC5/RPA1",28
"R-HSA-69242","R-HSA-69242","S Phase","30/452","117/7444",6.34788122903311e-12,6.88392453281813e-10,5.22679343302843e-10,"CDC6/CDCA5/CDK4/CDT1/FEN1/MCM2/MCM3/MCM4/MCM5/PCNA/POLD2/PRIM2/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RFC2/RFC3/RFC5/RPA1",30
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","35/452","157/7444",8.48464852167702e-12,8.28101695715677e-10,6.28757111501118e-10,"BRCC3/CCNB1/CDC20/CDC6/CDK1/CHEK1/EXO1/MAD2L1/MCM2/MCM3/MCM4/MCM5/PSMA4/PSMA5/PSMB2/PSMB6/PSMC1/PSMC2/PSMC4/PSMD1/PSMD12/PSMD14/PSMD2/PSMD4/PSME3/PSMF1/RBBP8/RFC2/RFC3/RFC5/RPA1/SFN/SUMO1/YWHAG/YWHAZ",35
