"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","62/359","433/7589",9.22808264793448e-16,8.64671344111461e-13,6.92591887155504e-13,"ANAPC11/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDC23/CDCA5/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPO/ESPL1/FEN1/FOXM1/FZR1/HMMR/KIF18A/KIF20A/KIF23/KIF2C/LMNB1/MAD2L1/MCM4/MYBL2/NCAPD2/NCAPG/NCAPH/NEK2/NUP37/NUP62/PCNA/PKMYT1/PLK1/POLE3/PPP1CB/PRIM2/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/RAB1A/RAB8A/RCC2/RRM2/SET/SKP1/SMC4/TOP2A/TPX2/TUBA1C/TUBG1/UBE2C/YWHAG/ZWILCH/ZWINT",62
"R-HSA-68886","R-HSA-68886","M Phase","42/359","248/7589",2.20011288354761e-13,1.03075288594206e-10,8.25621308404972e-11,"ANAPC11/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDC23/CDCA5/CDCA8/CDK1/CENPE/CENPF/CENPO/ESPL1/KIF18A/KIF20A/KIF23/KIF2C/LMNB1/MAD2L1/NCAPD2/NCAPG/NCAPH/NUP37/NUP62/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/RAB1A/RCC2/SET/SMC4/TUBA1C/UBE2C/ZWILCH/ZWINT",42
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","24/359","107/7589",1.00694410668622e-10,3.14502209321663e-08,2.51912683532377e-08,"BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPE/CENPF/CENPO/KIF18A/KIF2C/MAD2L1/NCAPD2/NCAPG/NCAPH/NUP37/PLK1/RCC2/SMC4/TUBA1C/ZWILCH/ZWINT",24
"R-HSA-2467813","R-HSA-2467813","Separation of Sister Chromatids","29/359","159/7589",2.2776677734446e-10,4.64461708242455e-08,3.72028532243858e-08,"ANAPC11/BUB1/BUB1B/CDC20/CDC23/CDCA5/CDCA8/CENPE/CENPF/CENPO/ESPL1/KIF18A/KIF2C/MAD2L1/NUP37/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/RCC2/TUBA1C/UBE2C/ZWILCH/ZWINT",29
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase","30/359","170/7589",2.56132494667213e-10,4.64461708242455e-08,3.72028532243858e-08,"ANAPC11/BUB1/BUB1B/CDC20/CDC23/CDCA5/CDCA8/CENPE/CENPF/CENPO/ESPL1/KIF18A/KIF2C/LMNB1/MAD2L1/NUP37/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/RCC2/TUBA1C/UBE2C/ZWILCH/ZWINT",30
"R-HSA-2555396","R-HSA-2555396","Mitotic Metaphase and Anaphase","30/359","171/7589",2.97414114136044e-10,4.64461708242455e-08,3.72028532243858e-08,"ANAPC11/BUB1/BUB1B/CDC20/CDC23/CDCA5/CDCA8/CENPE/CENPF/CENPO/ESPL1/KIF18A/KIF2C/LMNB1/MAD2L1/NUP37/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/RCC2/TUBA1C/UBE2C/ZWILCH/ZWINT",30
"R-HSA-174143","R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","20/359","82/7589",7.82763852599191e-10,9.16812162356802e-08,7.34356088030556e-08,"ANAPC11/BUB1B/CCNB1/CDC20/CDC23/CDK1/FZR1/MAD2L1/NEK2/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/SKP1/UBE2C",20
"R-HSA-453276","R-HSA-453276","Regulation of mitotic cell cycle","20/359","82/7589",7.82763852599191e-10,9.16812162356802e-08,7.34356088030556e-08,"ANAPC11/BUB1B/CCNB1/CDC20/CDC23/CDK1/FZR1/MAD2L1/NEK2/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/SKP1/UBE2C",20
"R-HSA-176408","R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","19/359","76/7589",1.3353032486674e-09,1.3901990488904e-07,1.11353358631562e-07,"ANAPC11/BUB1B/CCNB1/CDC20/CDC23/CDK1/FZR1/MAD2L1/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/SKP1/UBE2C",19
"R-HSA-176814","R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","18/359","72/7589",3.66346624067281e-09,3.43266786751043e-07,2.74952782063128e-07,"ANAPC11/BUB1B/CCNB1/CDC20/CDC23/CDK1/MAD2L1/NEK2/PLK1/PSMA1/PSMA6/PSMD11/PSMD12/PSMD14/PSMD2/PSME3/PSME4/UBE2C",18
