"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","179/1411","436/7620",1.0853220103057e-29,1.49882969623217e-26,1.28410730482485e-26,"ANAPC1/ANAPC7/AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDCA8/CDK1/CDK2/CDK4/CDK6/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPJ/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP152/CEP250/CEP72/CEP76/CEP78/CKAP5/CKS1B/CSNK2A1/DBF4/DHFR/DNA2/DSN1/E2F1/E2F2/E2F3/ERCC6L/ESCO2/ESPL1/FBXL18/FBXO5/FEN1/FKBPL/FOXM1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS5/HAUS6/HAUS8/HDAC1/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BN/HIST1H3H/HIST1H4H/HIST1H4I/HIST3H2BB/HIST4H4/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LIG1/LIN9/LMNB1/LPIN3/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEDD1/NEK2/NUF2/NUP107/NUP155/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/PCNA/PKMYT1/PLK1/PLK4/POLA1/POLA2/POLD1/POLD2/POLE/POLE2/PPP2R3B/PRIM1/PRIM2/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RBL1/RCC2/RFC2/RFC3/RFC4/RFC5/RRM2/SET/SKA1/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TMPO/TOP2A/TPX2/TUBA1C/TUBB/TUBB2A/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/XPO1/YWHAG/ZWILCH/ZWINT",179
"R-HSA-6805567","R-HSA-6805567","Keratinization","57/1411","76/7620",6.7552462230975e-27,3.10966501136588e-24,2.66417429991635e-24,"CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK14/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT31/KRT33A/KRT5/KRT6A/KRT6B/KRT6C/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",57
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","57/1411","76/7620",6.7552462230975e-27,3.10966501136588e-24,2.66417429991635e-24,"CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK14/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT31/KRT33A/KRT5/KRT6A/KRT6B/KRT6C/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",57
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","44/1411","73/7620",2.32815798778031e-15,8.03796545281152e-13,6.88644625859229e-13,"CENPA/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CENPW/DKC1/DNA2/FEN1/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BN/HIST1H4H/HIST1H4I/HIST3H2BB/HIST4H4/HJURP/LIG1/OIP5/PCNA/POLA1/POLA2/POLD1/POLD2/POLE/POLE2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RUVBL1/TERT",44
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","55/1411","107/7620",1.08952253163758e-14,3.00926123238299e-12,2.57815436960134e-12,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP37/NUP43/PLK1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBB2A/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",55
"R-HSA-69190","R-HSA-69190","DNA strand elongation","26/1411","32/7620",2.13295536695416e-14,4.90935226960615e-12,4.20603830255522e-12,"CDC45/DNA2/FEN1/GINS1/GINS2/GINS3/GINS4/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PCNA/POLA1/POLA2/POLD1/POLD2/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5",26
"R-HSA-68886","R-HSA-68886","M Phase","96/1411","251/7620",7.04549580064038e-14,1.38997567152634e-11,1.19084771126613e-11,"ANAPC1/ANAPC7/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/ESPL1/FBXO5/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BN/HIST1H3H/HIST1H4H/HIST1H4I/HIST3H2BB/HIST4H4/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LMNB1/LPIN3/MAD2L1/MASTL/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP155/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/PLK1/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RCC2/SET/SKA1/SMC2/SMC4/SPC24/SPC25/TMPO/TUBA1C/TUBB2A/TUBB2B/TUBB3/UBE2C/VRK1/XPO1/ZWILCH/ZWINT",96
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","49/1411","99/7620",1.99499568496915e-12,3.44386130117799e-10,2.95049361829647e-10,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NDC80/NDE1/NUF2/NUP107/NUP37/NUP43/PLK1/RANGAP1/RCC2/SKA1/SPC24/SPC25/TUBA1C/TUBB2A/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",49
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","67/1411","160/7620",3.94344496953519e-12,6.05099722547566e-10,5.18413116462872e-10,"ANAPC1/ANAPC7/ATR/BARD1/BLM/BRCA1/BRIP1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK1/CDK2/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BN/HIST1H4H/HIST1H4I/HIST3H2BB/HIST4H4/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/SFN/TOPBP1/UBE2C/YWHAG/YWHAZ/ZNF385A",67
"R-HSA-5693538","R-HSA-5693538","Homology Directed Repair","49/1411","101/7620",5.15268582124948e-12,7.11585911914553e-10,6.09644090850991e-10,"ATR/BARD1/BLM/BRCA1/BRCA2/BRIP1/CCNA2/CDK2/CHEK1/CLSPN/DNA2/EME1/EXO1/FEN1/GEN1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BN/HIST1H4H/HIST1H4I/HIST3H2BB/HIST4H4/LIG3/PALB2/PARP1/PCNA/POLD1/POLD2/POLE/POLE2/POLQ/RAD51/RAD51AP1/RAD51C/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/TIMELESS/TIPIN/TOPBP1/XRCC2/XRCC3",49
