"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","176/1430","436/7620",2.20601699630106e-27,3.05312752288066e-24,2.61935491771325e-24,"ANAPC1/ANAPC7/AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDCA8/CDK1/CDK2/CDK4/CDKN2A/CDT1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPJ/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CEP152/CEP250/CEP72/CEP76/CKAP5/CKS1B/CSNK2A1/DBF4/DHFR/DNA2/DSN1/E2F1/E2F2/E2F3/ERCC6L/ESCO2/ESPL1/FBXO5/FEN1/FKBPL/FOXM1/GINS1/GINS2/GINS3/GINS4/GMNN/GTSE1/H2AFX/H2AFZ/HAUS5/HAUS6/HAUS8/HDAC1/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H3H/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/HMMR/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LIG1/LIN9/LMNB1/LPIN3/MAD2L1/MASTL/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MNAT1/MYBL2/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEK2/NUF2/NUP107/NUP155/NUP205/NUP35/NUP37/NUP43/NUP85/NUPL2/PCNA/PKMYT1/PLK1/PLK4/POLA2/POLD2/POLE/POLE2/POLE3/PPP2R3B/PRIM1/PRIM2/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RBL1/RCC2/RFC2/RFC3/RFC4/RFC5/RPA3/RRM2/SKA1/SKP2/SMC2/SMC4/SPC24/SPC25/TFDP1/TMPO/TOP2A/TPX2/TUBA1C/TUBB/TUBB2A/TUBB2B/TUBB3/TUBG1/TYMS/UBE2C/VRK1/XPO1/YWHAG/ZWILCH/ZWINT",176
"R-HSA-6805567","R-HSA-6805567","Keratinization","56/1430","76/7620",1.78797442801954e-25,8.24852202793014e-23,7.07661457826681e-23,"CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT31/KRT33A/KRT5/KRT6A/KRT6B/KRT6C/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",56
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","56/1430","76/7620",1.78797442801954e-25,8.24852202793014e-23,7.07661457826681e-23,"CASP14/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/FLG/IVL/JUP/KLK12/KLK13/KLK8/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT31/KRT33A/KRT5/KRT6A/KRT6B/KRT6C/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/LCE3D/PERP/PI3/PKP1/PKP2/PKP3/RPTN/SPINK5/SPRR1A/SPRR1B/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/ST14/TCHH/TGM5",56
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","46/1430","73/7620",7.55911821612421e-17,2.61545490277898e-14,2.2438645652074e-14,"CENPA/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CENPW/DKC1/DNA2/FEN1/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/HJURP/LIG1/OIP5/PCNA/POLA2/POLD2/POLE/POLE2/POLE3/PRIM1/PRIM2/RFC2/RFC3/RFC4/RFC5/RPA3/RUVBL1/TERT",46
"R-HSA-5693538","R-HSA-5693538","Homology Directed Repair","54/1430","101/7620",3.82608293953965e-15,9.38011866247287e-13,8.04743980169562e-13,"ATR/BARD1/BLM/BRCA1/BRCA2/BRIP1/CCNA2/CDK2/CHEK1/CLSPN/DNA2/EME1/EXO1/FEN1/GEN1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/LIG3/PALB2/PARP1/PARP2/PCNA/POLD2/POLE/POLE2/POLE3/POLQ/RAD51/RAD51AP1/RAD51C/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA3/TIMELESS/TIPIN/TOPBP1/XRCC2/XRCC3",54
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","56/1430","107/7620",4.06652543170789e-15,9.38011866247287e-13,8.04743980169562e-13,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/INCENP/KIF18A/KIF2C/KNTC1/MAD2L1/NCAPD2/NCAPG/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP37/NUP43/NUP85/PLK1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TUBA1C/TUBB2A/TUBB2B/TUBB3/XPO1/ZWILCH/ZWINT",56
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","71/1430","160/7620",5.33964446076741e-14,1.00503107674299e-11,8.62241447038408e-12,"ANAPC1/ANAPC7/ATR/BARD1/BLM/BRCA1/BRIP1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK1/CDK2/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/MAD2L1/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA3/SFN/TOPBP1/UBE2C/YWHAG/YWHAZ/ZNF385A",71
"R-HSA-68886","R-HSA-68886","M Phase","97/1430","251/7620",5.80942818926587e-14,1.00503107674299e-11,8.62241447038408e-12,"ANAPC1/ANAPC7/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CENPA/CENPE/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPN/CENPO/CENPP/CENPQ/CKAP5/CSNK2A1/DSN1/ERCC6L/ESPL1/FBXO5/H2AFX/H2AFZ/HIST1H2AE/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H3H/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/INCENP/KIF18A/KIF20A/KIF23/KIF2C/KNTC1/LMNB1/LPIN3/MAD2L1/MASTL/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NUF2/NUP107/NUP155/NUP205/NUP35/NUP37/NUP43/NUP85/NUPL2/PLK1/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/PTTG1/RAE1/RANGAP1/RCC2/SKA1/SMC2/SMC4/SPC24/SPC25/TMPO/TUBA1C/TUBB2A/TUBB2B/TUBB3/UBE2C/VRK1/XPO1/ZWILCH/ZWINT",97
"R-HSA-69481","R-HSA-69481","G2/M Checkpoints","61/1430","129/7620",1.01128997577931e-13,1.55513925164285e-11,1.3341930908527e-11,"ATR/BARD1/BLM/BRCA1/BRIP1/CCNB1/CCNB2/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK1/CDK2/CHEK1/CHEK2/CLSPN/DBF4/DNA2/EXO1/GTSE1/H2AFX/HIST1H2BD/HIST1H2BG/HIST1H2BH/HIST1H2BJ/HIST1H2BK/HIST1H2BN/HIST1H4H/HIST1H4I/HIST2H2BE/HIST3H2BB/HIST4H4/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/PKMYT1/PSMC4/PSMD11/PSMD14/PSMD2/PSMD7/PSME4/RAD9A/RBBP8/RFC2/RFC3/RFC4/RFC5/RMI1/RNF168/RPA3/SFN/TOPBP1/YWHAG/YWHAZ",61
"R-HSA-176187","R-HSA-176187","Activation of ATR in response to replication stress","24/1430","29/7620",1.3888016316009e-13,1.92210145813565e-11,1.64901920046928e-11,"ATR/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDK2/CHEK1/CLSPN/DBF4/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/RAD9A/RFC2/RFC3/RFC4/RFC5/RPA3",24
